time,Large_Setpoint,Plant__AW_,Plant__Std_,Anti_Windup_PID,Standard_PID
0,0,0,0,0,0
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,0,0,0
0.04,0,0,0,0,0
0.05,0,0,0,0,0
0.06,0,0,0,0,0
0.07,0,0,0,0,0
0.08,0,0,0,0,0
0.09,0,0,0,0,0
0.1,0,0,0,0,0
0.11,0,0,0,0,0
0.12,0,0,0,0,0
0.13,0,0,0,0,0
0.14,0,0,0,0,0
0.15,0,0,0,0,0
0.16,0,0,0,0,0
0.17,0,0,0,0,0
0.18,0,0,0,0,0
0.19,0,0,0,0,0
0.2,0,0,0,0,0
0.21,0,0,0,0,0
0.22,0,0,0,0,0
0.23,0,0,0,0,0
0.24,0,0,0,0,0
0.25,0,0,0,0,0
0.26,0,0,0,0,0
0.27,0,0,0,0,0
0.28,0,0,0,0,0
0.29,0,0,0,0,0
0.3,0,0,0,0,0
0.31,0,0,0,0,0
0.32,0,0,0,0,0
0.33,0,0,0,0,0
0.34,0,0,0,0,0
0.35,0,0,0,0,0
0.36,0,0,0,0,0
0.37,0,0,0,0,0
0.38,0,0,0,0,0
0.39,0,0,0,0,0
0.4,0,0,0,0,0
0.41,0,0,0,0,0
0.42,0,0,0,0,0
0.43,0,0,0,0,0
0.44,0,0,0,0,0
0.45,0,0,0,0,0
0.46,0,0,0,0,0
0.47,0,0,0,0,0
0.48,0,0,0,0,0
0.49,0,0,0,0,0
0.5,0,0,0,0,0
0.51,0,0,0,0,0
0.52,0,0,0,0,0
0.53,0,0,0,0,0
0.54,0,0,0,0,0
0.55,0,0,0,0,0
0.56,0,0,0,0,0
0.57,0,0,0,0,0
0.58,0,0,0,0,0
0.59,0,0,0,0,0
0.6,0,0,0,0,0
0.61,0,0,0,0,0
0.62,0,0,0,0,0
0.63,0,0,0,0,0
0.64,0,0,0,0,0
0.65,0,0,0,0,0
0.66,0,0,0,0,0
0.67,0,0,0,0,0
0.68,0,0,0,0,0
0.69,0,0,0,0,0
0.7,0,0,0,0,0
0.71,0,0,0,0,0
0.72,0,0,0,0,0
0.73,0,0,0,0,0
0.74,0,0,0,0,0
0.75,0,0,0,0,0
0.76,0,0,0,0,0
0.77,0,0,0,0,0
0.78,0,0,0,0,0
0.79,0,0,0,0,0
0.8,0,0,0,0,0
0.81,0,0,0,0,0
0.82,0,0,0,0,0
0.83,0,0,0,0,0
0.84,0,0,0,0,0
0.85,0,0,0,0,0
0.86,0,0,0,0,0
0.87,0,0,0,0,0
0.88,0,0,0,0,0
0.89,0,0,0,0,0
0.9,0,0,0,0,0
0.91,0,0,0,0,0
0.92,0,0,0,0,0
0.93,0,0,0,0,0
0.94,0,0,0,0,0
0.95,0,0,0,0,0
0.96,0,0,0,0,0
0.97,0,0,0,0,0
0.98,0,0,0,0,0
0.99,0,0,0,0,0
1,0,0,0,0,0
1.01,1,0,0,55,5.02
1.02,1,0.638018,0.00995025,34.8585,13.0883
1.03,1,0.820698,0.0198014,10.9584,7.67662
1.04,1,0.985864,0.0295545,2.91359,5.65298
1.05,1,0.982319,0.0392106,0.322779,4.87907
1.06,1,0.99301,0.0487707,0.559243,4.57396
1.07,1,0.982736,0.0582355,0.736447,4.4448
1.08,1,0.983666,0.0676063,0.94814,4.38177
1.09,1,0.981641,0.0768837,0.973,4.34368
1.1,1,0.982277,0.0860689,0.992542,4.31509
1.11,1,0.981986,0.0951627,0.983839,4.2902
1.12,1,0.982182,0.104166,0.984281,4.26684
1.13,1,0.982116,0.11308,0.981868,4.2442
