time,Command,Rate_Limiter,Quantizer,Then_Quant
0,0,0,0,0
0.001,0,0,0,0
0.002,0.0628302,0.03,0,0
0.003,0.12565,0.07,0,0
0.004,0.188451,0.11,0,0
0.005,0.251222,0.15,0.5,0
0.006,0.313953,0.19,0.5,0
0.007,0.376634,0.23,0.5,0
0.008,0.439256,0.27,0.5,0.5
0.009,0.501809,0.31,0.5,0.5
0.01,0.564282,0.35,0.5,0.5
0.011,0.626666,0.39,0.5,0.5
0.012,0.688951,0.43,0.5,0.5
0.013,0.751128,0.47,1,0.5
0.014,0.813186,0.51,1,0.5
0.015,0.875115,0.55,1,0.5
0.016,0.936907,0.59,1,0.5
0.017,0.99855,0.63,1,0.5
0.018,1.06004,0.67,1,0.5
0.019,1.12135,0.71,1,0.5
0.02,1.18249,0.75,1,0.5
0.021,1.24345,0.79,1,1
0.022,1.30421,0.83,1.5,1
0.023,1.36476,0.87,1.5,1
0.024,1.4251,0.91,1.5,1
0.025,1.48521,0.95,1.5,1
0.026,1.54508,0.99,1.5,1
0.027,1.60472,1.03,1.5,1
0.028,1.6641,1.07,1.5,1
0.029,1.72321,1.11,1.5,1
0.03,1.78206,1.15,2,1
0.031,1.84062,1.19,2,1
0.032,1.8989,1.23,2,1
0.033,1.95687,1.27,2,1.5
0.034,2.01453,1.31,2,1.5
0.035,2.07188,1.35,2,1.5
0.036,2.1289,1.39,2,1.5
0.037,2.18558,1.43,2,1.5
0.038,2.24192,1.47,2,1.5
0.039,2.2979,1.51,2.5,1.5
0.04,2.35352,1.55,2.5,1.5
0.041,2.40877,1.59,2.5,1.5
0.042,2.46364,1.63,2.5,1.5
0.043,2.51812,1.67,2.5,1.5
0.044,2.5722,1.71,2.5,1.5
0.045,2.62587,1.75,2.5,1.5
0.046,2.67913,1.79,2.5,2
0.047,2.73197,1.83,2.5,2
0.048,2.78438,1.87,3,2
0.049,2.83634,1.91,3,2
0.05,2.88786,1.95,3,2
0.051,2.93893,1.99,3,2
0.052,2.98952,2.03,3,2
0.053,3.03965,2.07,3,2
0.054,3.0893,2.11,3,2
0.055,3.13846,2.15,3,2
0.056,3.18712,2.19,3,2
0.057,3.23528,2.23,3,2
0.058,3.28293,2.27,3.5,2.5
0.059,3.33006,2.31,3.5,2.5
0.06,3.37666,2.35,3.5,2.5
0.061,3.42274,2.39,3.5,2.5
0.062,3.46827,2.43,3.5,2.5
0.063,3.51325,2.47,3.5,2.5
0.064,3.55768,2.51,3.5,2.5
0.065,3.60155,2.55,3.5,2.5
0.066,3.64484,2.59,3.5,2.5
0.067,3.68757,2.63,3.5,2.5
0.068,3.72971,2.67,3.5,2.5
0.069,3.77126,2.71,4,2.5
0.07,3.81221,2.75,4,2.5
0.071,3.85257,2.79,4,3
0.072,3.89231,2.83,4,3
0.073,3.93144,2.87,4,3
0.074,3.96995,2.91,4,3
0.075,4.00783,2.95,4,3
0.076,4.04508,2.99,4,3
0.077,4.0817,3.03,4,3
0.078,4.11766,3.07,4,3
0.079,4.15298,3.11,4,3
0.08,4.18764,3.15,4,3
0.081,4.22164,3.19,4,3
0.082,4.25497,3.23,4.5,3
0.083,4.28763,3.27,4.5,3.5
0.084,4.31962,3.31,4.5,3.5
0.085,4.35092,3.35,4.5,3.5
0.086,4.38153,3.39,4.5,3.5
0.087,4.41146,3.43,4.5,3.5
0.088,4.44068,3.47,4.5,3.5
0.089,4.46921,3.51,4.5,3.5
0.09,4.49703,3.55,4.5,3.5
0.091,4.52414,3.59,4.5,3.5
0.092,4.55053,3.63,4.5,3.5
0.093,4.57621,3.67,4.5,3.5
0.094,4.60116,3.71,4.5,3.5
0.095,4.62539,3.75,4.5,3.5
0.096,4.64888,3.79,4.5,4
0.097,4.67164,3.83,4.5,4
0.098,4.69367,3.87,4.5,4
0.099,4.71495,3.91,4.5,4
0.1,4.73549,3.95,4.5,4
0.101,4.75528,3.99,5,4
0.102,4.77432,4.03,5,4
0.103,4.79261,4.07,5,4
0.104,4.81014,4.11,5,4
0.105,4.82691,4.15,5,4
0.106,4.84292,4.19,5,4
0.107,4.85816,4.23,5,4
0.108,4.87263,4.27,5,4.5
0.109,4.88634,4.31,5,4.5
0.11,4.89928,4.35,5,4.5
0.111,4.91144,4.39,5,4.5
0.112,4.92282,4.43,5,4.5
0.113,4.93343,4.47,5,4.5
0.114,4.94326,4.51,5,4.5
0.115,4.95231,4.55,5,4.5
0.116,4.96057,4.59,5,4.5
0.117,4.96806,4.63,5,4.5
0.118,4.97476,4.67,5,4.5
0.119,4.98067,4.71,5,4.5
0.12,4.98579,4.75,5,4.5
0.121,4.99013,4.79,5,5
0.122,4.99368,4.83,5,5
0.123,4.99645,4.87,5,5
0.124,4.99842,4.91,5,5
0.125,4.99961,4.95,5,5
0.126,5,4.99,5,5
0.127,4.99961,4.99961,5,5
0.128,4.99842,4.99842,5,5
0.129,4.99645,4.99645,5,5
0.13,4.99368,4.99368,5,5
0.131,4.99013,4.99013,5,5
0.132,4.98579,4.98579,5,5
0.133,4.98067,4.98067,5,5
0.134,4.97476,4.97476,5,5
0.135,4.96806,4.96806,5,5
0.136,4.96057,4.96057,5,5
0.137,4.95231,4.95231,5,5
0.138,4.94326,4.94326,5,5
0.139,4.93343,4.93343,5,5
0.14,4.92282,4.92282,5,5
0.141,4.91144,4.91144,5,5
0.142,4.89928,4.89928,5,5
0.143,4.88634,4.88634,5,5
0.144,4.87263,4.87263,5,5
0.145,4.85816,4.85816,5,5
0.146,4.84292,4.84292,5,5
0.147,4.82691,4.82691,5,5
0.148,4.81014,4.81014,5,5
0.149,4.79261,4.79261,5,5
0.15,4.77432,4.77432,5,5
0.151,4.75528,4.75528,5,5
0.152,4.73549,4.73549,4.5,4.5
0.153,4.71495,4.71495,4.5,4.5
0.154,4.69367,4.69367,4.5,4.5
0.155,4.67164,4.67164,4.5,4.5
0.156,4.64888,4.64888,4.5,4.5
0.157,4.62539,4.62539,4.5,4.5
0.158,4.60116,4.60116,4.5,4.5
0.159,4.57621,4.57621,4.5,4.5
0.16,4.55053,4.55053,4.5,4.5
0.161,4.52414,4.52414,4.5,4.5
0.162,4.49703,4.49703,4.5,4.5
0.163,4.46921,4.46921,4.5,4.5
0.164,4.44068,4.44068,4.5,4.5
0.165,4.41146,4.41146,4.5,4.5
0.166,4.38153,4.38153,4.5,4.5
0.167,4.35092,4.35153,4.5,4.5
0.168,4.31962,4.32092,4.5,4.5
0.169,4.28763,4.28962,4.5,4.5
0.17,4.25497,4.25763,4.5,4.5
0.171,4.22164,4.22497,4,4
0.172,4.18764,4.19164,4,4
0.173,4.15298,4.15764,4,4
0.174,4.11766,4.12298,4,4
0.175,4.0817,4.08766,4,4
0.176,4.04508,4.0517,4,4
0.177,4.00783,4.01508,4,4
0.178,3.96995,3.97783,4,4
0.179,3.93144,3.93995,4,4
0.18,3.89231,3.90144,4,4
0.181,3.85257,3.86231,4,4
0.182,3.81221,3.82257,4,4
0.183,3.77126,3.78257,4,4
0.184,3.72971,3.74257,3.5,4
0.185,3.68757,3.70257,3.5,3.5
0.186,3.64484,3.66257,3.5,3.5
0.187,3.60155,3.62257,3.5,3.5
0.188,3.55768,3.58257,3.5,3.5
0.189,3.51325,3.54257,3.5,3.5
0.19,3.46827,3.50257,3.5,3.5
0.191,3.42274,3.46257,3.5,3.5
0.192,3.37666,3.42257,3.5,3.5
0.193,3.33006,3.38257,3.5,3.5
0.194,3.28293,3.34257,3.5,3.5
0.195,3.23528,3.30257,3,3.5
0.196,3.18712,3.26257,3,3.5
0.197,3.13846,3.22257,3,3
0.198,3.0893,3.18257,3,3
0.199,3.03965,3.14257,3,3
0.2,2.98952,3.10257,3,3
0.201,2.93893,3.06257,3,3
0.202,2.88786,3.02257,3,3
0.203,2.83634,2.98257,3,3
0.204,2.78438,2.94257,3,3
0.205,2.73197,2.90257,2.5,3
0.206,2.67913,2.86257,2.5,3
0.207,2.62587,2.82257,2.5,3
0.208,2.5722,2.78257,2.5,3
0.209,2.51812,2.74257,2.5,3
0.21,2.46364,2.70257,2.5,2.5
0.211,2.40877,2.66257,2.5,2.5
0.212,2.35352,2.62257,2.5,2.5
0.213,2.2979,2.58257,2.5,2.5
0.214,2.24192,2.54257,2,2.5
0.215,2.18558,2.50257,2,2.5
0.216,2.1289,2.46257,2,2.5
0.217,2.07188,2.42257,2,2.5
0.218,2.01453,2.38257,2,2.5
0.219,1.95687,2.34257,2,2.5
0.22,1.8989,2.30257,2,2.5
0.221,1.84062,2.26257,2,2.5
0.222,1.78206,2.22257,2,2
0.223,1.72321,2.18257,1.5,2
0.224,1.6641,2.14257,1.5,2
0.225,1.60472,2.10257,1.5,2
0.226,1.54508,2.06257,1.5,2
0.227,1.48521,2.02257,1.5,2
0.228,1.4251,1.98257,1.5,2
0.229,1.36476,1.94257,1.5,2
0.23,1.30421,1.90257,1.5,2
0.231,1.24345,1.86257,1,2
0.232,1.18249,1.82257,1,2
0.233,1.12135,1.78257,1,2
0.234,1.06004,1.74257,1,2
0.235,0.99855,1.70257,1,1.5
0.236,0.936907,1.66257,1,1.5
0.237,0.875115,1.62257,1,1.5
0.238,0.813186,1.58257,1,1.5
0.239,0.751128,1.54257,1,1.5
0.24,0.688951,1.50257,0.5,1.5
0.241,0.626666,1.46257,0.5,1.5
0.242,0.564282,1.42257,0.5,1.5
0.243,0.501809,1.38257,0.5,1.5
0.244,0.439256,1.34257,0.5,1.5
0.245,0.376634,1.30257,0.5,1.5
0.246,0.313953,1.26257,0.5,1.5
0.247,0.251222,1.22257,0.5,1
0.248,0.188451,1.18257,0,1
0.249,0.12565,1.14257,0,1
0.25,0.0628302,1.10257,0,1
0.251,-1.04899e-14,1.06257,-0,1
0.252,-0.0628302,1.02257,-0,1
0.253,-0.12565,0.982566,-0,1
0.254,-0.188451,0.942566,-0,1
0.255,-0.251222,0.902566,-0.5,1
0.256,-0.313953,0.862566,-0.5,1
0.257,-0.376634,0.822566,-0.5,1
0.258,-0.439256,0.782566,-0.5,1
0.259,-0.501809,0.742566,-0.5,1
0.26,-0.564282,0.702566,-0.5,0.5
0.261,-0.626666,0.662566,-0.5,0.5
0.262,-0.688951,0.622566,-0.5,0.5
0.263,-0.751128,0.582566,-1,0.5
0.264,-0.813186,0.542566,-1,0.5
0.265,-0.875115,0.502566,-1,0.5
0.266,-0.936907,0.462566,-1,0.5
0.267,-0.99855,0.422566,-1,0.5
0.268,-1.06004,0.382566,-1,0.5
0.269,-1.12135,0.342566,-1,0.5
0.27,-1.18249,0.302566,-1,0.5
0.271,-1.24345,0.262566,-1,0.5
0.272,-1.30421,0.222566,-1.5,0
0.273,-1.36476,0.182566,-1.5,0
0.274,-1.4251,0.142566,-1.5,0
0.275,-1.48521,0.102566,-1.5,0
0.276,-1.54508,0.0625662,-1.5,0
0.277,-1.60472,0.0225662,-1.5,0
0.278,-1.6641,-0.0174338,-1.5,-0
0.279,-1.72321,-0.0574338,-1.5,-0
0.28,-1.78206,-0.0974338,-2,-0
0.281,-1.84062,-0.137434,-2,-0
0.282,-1.8989,-0.177434,-2,-0
0.283,-1.95687,-0.217434,-2,-0
0.284,-2.01453,-0.257434,-2,-0
0.285,-2.07188,-0.297434,-2,-0.5
0.286,-2.1289,-0.337434,-2,-0.5
0.287,-2.18558,-0.377434,-2,-0.5
0.288,-2.24192,-0.417434,-2,-0.5
0.289,-2.2979,-0.457434,-2.5,-0.5
0.29,-2.35352,-0.497434,-2.5,-0.5
0.291,-2.40877,-0.537434,-2.5,-0.5
0.292,-2.46364,-0.577434,-2.5,-0.5
0.293,-2.51812,-0.617434,-2.5,-0.5
0.294,-2.5722,-0.657434,-2.5,-0.5
0.295,-2.62587,-0.697434,-2.5,-0.5
0.296,-2.67913,-0.737434,-2.5,-0.5
0.297,-2.73197,-0.777434,-2.5,-1
0.298,-2.78438,-0.817434,-3,-1
0.299,-2.83634,-0.857434,-3,-1
0.3,-2.88786,-0.897434,-3,-1
0.301,-2.93893,-0.937434,-3,-1
0.302,-2.98952,-0.977434,-3,-1
0.303,-3.03965,-1.01743,-3,-1
0.304,-3.0893,-1.05743,-3,-1
0.305,-3.13846,-1.09743,-3,-1
0.306,-3.18712,-1.13743,-3,-1
0.307,-3.23528,-1.17743,-3,-1
0.308,-3.28293,-1.21743,-3.5,-1
0.309,-3.33006,-1.25743,-3.5,-1
0.31,-3.37666,-1.29743,-3.5,-1.5
0.311,-3.42274,-1.33743,-3.5,-1.5
0.312,-3.46827,-1.37743,-3.5,-1.5
0.313,-3.51325,-1.41743,-3.5,-1.5
0.314,-3.55768,-1.45743,-3.5,-1.5
0.315,-3.60155,-1.49743,-3.5,-1.5
0.316,-3.64484,-1.53743,-3.5,-1.5
0.317,-3.68757,-1.57743,-3.5,-1.5
0.318,-3.72971,-1.61743,-3.5,-1.5
0.319,-3.77126,-1.65743,-4,-1.5
0.32,-3.81221,-1.69743,-4,-1.5
0.321,-3.85257,-1.73743,-4,-1.5
0.322,-3.89231,-1.77743,-4,-2
0.323,-3.93144,-1.81743,-4,-2
0.324,-3.96995,-1.85743,-4,-2
0.325,-4.00783,-1.89743,-4,-2
0.326,-4.04508,-1.93743,-4,-2
0.327,-4.0817,-1.97743,-4,-2
0.328,-4.11766,-2.01743,-4,-2
0.329,-4.15298,-2.05743,-4,-2
0.33,-4.18764,-2.09743,-4,-2
0.331,-4.22164,-2.13743,-4,-2
0.332,-4.25497,-2.17743,-4.5,-2
0.333,-4.28763,-2.21743,-4.5,-2
0.334,-4.31962,-2.25743,-4.5,-2
0.335,-4.35092,-2.29743,-4.5,-2.5
0.336,-4.38153,-2.33743,-4.5,-2.5
0.337,-4.41146,-2.37743,-4.5,-2.5
0.338,-4.44068,-2.41743,-4.5,-2.5
0.339,-4.46921,-2.45743,-4.5,-2.5
0.34,-4.49703,-2.49743,-4.5,-2.5
0.341,-4.52414,-2.53743,-4.5,-2.5
0.342,-4.55053,-2.57743,-4.5,-2.5
0.343,-4.57621,-2.61743,-4.5,-2.5
0.344,-4.60116,-2.65743,-4.5,-2.5
0.345,-4.62539,-2.69743,-4.5,-2.5
0.346,-4.64888,-2.73743,-4.5,-2.5
0.347,-4.67164,-2.77743,-4.5,-3
0.348,-4.69367,-2.81743,-4.5,-3
0.349,-4.71495,-2.85743,-4.5,-3
0.35,-4.73549,-2.89743,-4.5,-3
0.351,-4.75528,-2.93743,-5,-3
0.352,-4.77432,-2.97743,-5,-3
0.353,-4.79261,-3.01743,-5,-3
0.354,-4.81014,-3.05743,-5,-3
0.355,-4.82691,-3.09743,-5,-3
0.356,-4.84292,-3.13743,-5,-3
0.357,-4.85816,-3.17743,-5,-3
0.358,-4.87263,-3.21743,-5,-3
0.359,-4.88634,-3.25743,-5,-3
0.36,-4.89928,-3.29743,-5,-3.5
0.361,-4.91144,-3.33743,-5,-3.5
0.362,-4.92282,-3.37743,-5,-3.5
0.363,-4.93343,-3.41743,-5,-3.5
0.364,-4.94326,-3.45743,-5,-3.5
0.365,-4.95231,-3.49743,-5,-3.5
0.366,-4.96057,-3.53743,-5,-3.5
0.367,-4.96806,-3.57743,-5,-3.5
0.368,-4.97476,-3.61743,-5,-3.5
0.369,-4.98067,-3.65743,-5,-3.5
0.37,-4.98579,-3.69743,-5,-3.5
0.371,-4.99013,-3.73743,-5,-3.5
0.372,-4.99368,-3.77743,-5,-4
0.373,-4.99645,-3.81743,-5,-4
0.374,-4.99842,-3.85743,-5,-4
0.375,-4.99961,-3.89743,-5,-4
0.376,-5,-3.93743,-5,-4
0.377,-4.99961,-3.97743,-5,-4
0.378,-4.99842,-4.01743,-5,-4
0.379,-4.99645,-4.05743,-5,-4
0.38,-4.99368,-4.09743,-5,-4
0.381,-4.99013,-4.13743,-5,-4
0.382,-4.98579,-4.17743,-5,-4
0.383,-4.98067,-4.21743,-5,-4
0.384,-4.97476,-4.25743,-5,-4
0.385,-4.96806,-4.29743,-5,-4.5
0.386,-4.96057,-4.33743,-5,-4.5
0.387,-4.95231,-4.37743,-5,-4.5
0.388,-4.94326,-4.41743,-5,-4.5
0.389,-4.93343,-4.45743,-5,-4.5
0.39,-4.92282,-4.49743,-5,-4.5
0.391,-4.91144,-4.53743,-5,-4.5
0.392,-4.89928,-4.57743,-5,-4.5
0.393,-4.88634,-4.61743,-5,-4.5
0.394,-4.87263,-4.65743,-5,-4.5
0.395,-4.85816,-4.69743,-5,-4.5
0.396,-4.84292,-4.73743,-5,-4.5
0.397,-4.82691,-4.77743,-5,-5
0.398,-4.81014,-4.81014,-5,-5
0.399,-4.79261,-4.79261,-5,-5
0.4,-4.77432,-4.77432,-5,-5
0.401,-4.75528,-4.75528,-5,-5
0.402,-4.73549,-4.73549,-4.5,-4.5
0.403,-4.71495,-4.71495,-4.5,-4.5
0.404,-4.69367,-4.69367,-4.5,-4.5
0.405,-4.67164,-4.67164,-4.5,-4.5
0.406,-4.64888,-4.64888,-4.5,-4.5
0.407,-4.62539,-4.62539,-4.5,-4.5
0.408,-4.60116,-4.60116,-4.5,-4.5
0.409,-4.57621,-4.57621,-4.5,-4.5
0.41,-4.55053,-4.55053,-4.5,-4.5
0.411,-4.52414,-4.52414,-4.5,-4.5
0.412,-4.49703,-4.49703,-4.5,-4.5
0.413,-4.46921,-4.46921,-4.5,-4.5
0.414,-4.44068,-4.44068,-4.5,-4.5
0.415,-4.41146,-4.41146,-4.5,-4.5
0.416,-4.38153,-4.38153,-4.5,-4.5
0.417,-4.35092,-4.35153,-4.5,-4.5
0.418,-4.31962,-4.32092,-4.5,-4.5
0.419,-4.28763,-4.28962,-4.5,-4.5
0.42,-4.25497,-4.25763,-4.5,-4.5
0.421,-4.22164,-4.22497,-4,-4
0.422,-4.18764,-4.19164,-4,-4
0.423,-4.15298,-4.15764,-4,-4
0.424,-4.11766,-4.12298,-4,-4
0.425,-4.0817,-4.08766,-4,-4
0.426,-4.04508,-4.0517,-4,-4
0.427,-4.00783,-4.01508,-4,-4
0.428,-3.96995,-3.97783,-4,-4
0.429,-3.93144,-3.93995,-4,-4
0.43,-3.89231,-3.90144,-4,-4
0.431,-3.85257,-3.86231,-4,-4
0.432,-3.81221,-3.82257,-4,-4
0.433,-3.77126,-3.78257,-4,-4
0.434,-3.72971,-3.74257,-3.5,-4
0.435,-3.68757,-3.70257,-3.5,-3.5
0.436,-3.64484,-3.66257,-3.5,-3.5
0.437,-3.60155,-3.62257,-3.5,-3.5
0.438,-3.55768,-3.58257,-3.5,-3.5
0.439,-3.51325,-3.54257,-3.5,-3.5
0.44,-3.46827,-3.50257,-3.5,-3.5
0.441,-3.42274,-3.46257,-3.5,-3.5
0.442,-3.37666,-3.42257,-3.5,-3.5
0.443,-3.33006,-3.38257,-3.5,-3.5
0.444,-3.28293,-3.34257,-3.5,-3.5
0.445,-3.23528,-3.30257,-3,-3.5
0.446,-3.18712,-3.26257,-3,-3.5
0.447,-3.13846,-3.22257,-3,-3
0.448,-3.0893,-3.18257,-3,-3
0.449,-3.03965,-3.14257,-3,-3
0.45,-2.98952,-3.10257,-3,-3
0.451,-2.93893,-3.06257,-3,-3
0.452,-2.88786,-3.02257,-3,-3
0.453,-2.83634,-2.98257,-3,-3
0.454,-2.78438,-2.94257,-3,-3
0.455,-2.73197,-2.90257,-2.5,-3
0.456,-2.67913,-2.86257,-2.5,-3
0.457,-2.62587,-2.82257,-2.5,-3
0.458,-2.5722,-2.78257,-2.5,-3
0.459,-2.51812,-2.74257,-2.5,-3
0.46,-2.46364,-2.70257,-2.5,-2.5
0.461,-2.40877,-2.66257,-2.5,-2.5
0.462,-2.35352,-2.62257,-2.5,-2.5
0.463,-2.2979,-2.58257,-2.5,-2.5
0.464,-2.24192,-2.54257,-2,-2.5
0.465,-2.18558,-2.50257,-2,-2.5
0.466,-2.1289,-2.46257,-2,-2.5
0.467,-2.07188,-2.42257,-2,-2.5
0.468,-2.01453,-2.38257,-2,-2.5
0.469,-1.95687,-2.34257,-2,-2.5
0.47,-1.8989,-2.30257,-2,-2.5
0.471,-1.84062,-2.26257,-2,-2.5
0.472,-1.78206,-2.22257,-2,-2
0.473,-1.72321,-2.18257,-1.5,-2
0.474,-1.6641,-2.14257,-1.5,-2
0.475,-1.60472,-2.10257,-1.5,-2
0.476,-1.54508,-2.06257,-1.5,-2
0.477,-1.48521,-2.02257,-1.5,-2
0.478,-1.4251,-1.98257,-1.5,-2
0.479,-1.36476,-1.94257,-1.5,-2
0.48,-1.30421,-1.90257,-1.5,-2
0.481,-1.24345,-1.86257,-1,-2
0.482,-1.18249,-1.82257,-1,-2
0.483,-1.12135,-1.78257,-1,-2
0.484,-1.06004,-1.74257,-1,-2
0.485,-0.99855,-1.70257,-1,-1.5
0.486,-0.936907,-1.66257,-1,-1.5
0.487,-0.875115,-1.62257,-1,-1.5
0.488,-0.813186,-1.58257,-1,-1.5
0.489,-0.751128,-1.54257,-1,-1.5
0.49,-0.688951,-1.50257,-0.5,-1.5
0.491,-0.626666,-1.46257,-0.5,-1.5
0.492,-0.564282,-1.42257,-0.5,-1.5
0.493,-0.501809,-1.38257,-0.5,-1.5
0.494,-0.439256,-1.34257,-0.5,-1.5
0.495,-0.376634,-1.30257,-0.5,-1.5
0.496,-0.313953,-1.26257,-0.5,-1.5
0.497,-0.251222,-1.22257,-0.5,-1
0.498,-0.188451,-1.18257,-0,-1
0.499,-0.12565,-1.14257,-0,-1
0.5,-0.0628302,-1.10257,-0,-1
0.501,2.09798e-14,-1.06257,0,-1
0.502,0.0628302,-1.02257,0,-1
0.503,0.12565,-0.982566,0,-1
0.504,0.188451,-0.942566,0,-1
0.505,0.251222,-0.902566,0.5,-1
0.506,0.313953,-0.862566,0.5,-1
0.507,0.376634,-0.822566,0.5,-1
0.508,0.439256,-0.782566,0.5,-1
0.509,0.501809,-0.742566,0.5,-1
0.51,0.564282,-0.702566,0.5,-0.5
0.511,0.626666,-0.662566,0.5,-0.5
0.512,0.688951,-0.622566,0.5,-0.5
0.513,0.751128,-0.582566,1,-0.5
0.514,0.813186,-0.542566,1,-0.5
0.515,0.875115,-0.502566,1,-0.5
0.516,0.936907,-0.462566,1,-0.5
0.517,0.99855,-0.422566,1,-0.5
0.518,1.06004,-0.382566,1,-0.5
0.519,1.12135,-0.342566,1,-0.5
0.52,1.18249,-0.302566,1,-0.5
0.521,1.24345,-0.262566,1,-0.5
0.522,1.30421,-0.222566,1.5,-0
0.523,1.36476,-0.182566,1.5,-0
0.524,1.4251,-0.142566,1.5,-0
0.525,1.48521,-0.102566,1.5,-0
0.526,1.54508,-0.0625662,1.5,-0
0.527,1.60472,-0.0225662,1.5,-0
0.528,1.6641,0.0174338,1.5,0
0.529,1.72321,0.0574338,1.5,0
0.53,1.78206,0.0974338,2,0
0.531,1.84062,0.137434,2,0
0.532,1.8989,0.177434,2,0
0.533,1.95687,0.217434,2,0
0.534,2.01453,0.257434,2,0
0.535,2.07188,0.297434,2,0.5
0.536,2.1289,0.337434,2,0.5
0.537,2.18558,0.377434,2,0.5
0.538,2.24192,0.417434,2,0.5
0.539,2.2979,0.457434,2.5,0.5
0.54,2.35352,0.497434,2.5,0.5
0.541,2.40877,0.537434,2.5,0.5
0.542,2.46364,0.577434,2.5,0.5
0.543,2.51812,0.617434,2.5,0.5
0.544,2.5722,0.657434,2.5,0.5
0.545,2.62587,0.697434,2.5,0.5
0.546,2.67913,0.737434,2.5,0.5
0.547,2.73197,0.777434,2.5,1
0.548,2.78438,0.817434,3,1
0.549,2.83634,0.857434,3,1
0.55,2.88786,0.897434,3,1
0.551,2.93893,0.937434,3,1
0.552,2.98952,0.977434,3,1
0.553,3.03965,1.01743,3,1
0.554,3.0893,1.05743,3,1
0.555,3.13846,1.09743,3,1
0.556,3.18712,1.13743,3,1
0.557,3.23528,1.17743,3,1
0.558,3.28293,1.21743,3.5,1
0.559,3.33006,1.25743,3.5,1
0.56,3.37666,1.29743,3.5,1.5
0.561,3.42274,1.33743,3.5,1.5
0.562,3.46827,1.37743,3.5,1.5
0.563,3.51325,1.41743,3.5,1.5
0.564,3.55768,1.45743,3.5,1.5
0.565,3.60155,1.49743,3.5,1.5
0.566,3.64484,1.53743,3.5,1.5
0.567,3.68757,1.57743,3.5,1.5
0.568,3.72971,1.61743,3.5,1.5
0.569,3.77126,1.65743,4,1.5
0.57,3.81221,1.69743,4,1.5
0.571,3.85257,1.73743,4,1.5
0.572,3.89231,1.77743,4,2
0.573,3.93144,1.81743,4,2
0.574,3.96995,1.85743,4,2
0.575,4.00783,1.89743,4,2
0.576,4.04508,1.93743,4,2
0.577,4.0817,1.97743,4,2
0.578,4.11766,2.01743,4,2
0.579,4.15298,2.05743,4,2
0.58,4.18764,2.09743,4,2
0.581,4.22164,2.13743,4,2
0.582,4.25497,2.17743,4.5,2
0.583,4.28763,2.21743,4.5,2
0.584,4.31962,2.25743,4.5,2
0.585,4.35092,2.29743,4.5,2.5
0.586,4.38153,2.33743,4.5,2.5
0.587,4.41146,2.37743,4.5,2.5
0.588,4.44068,2.41743,4.5,2.5
0.589,4.46921,2.45743,4.5,2.5
0.59,4.49703,2.49743,4.5,2.5
0.591,4.52414,2.53743,4.5,2.5
0.592,4.55053,2.57743,4.5,2.5
0.593,4.57621,2.61743,4.5,2.5
0.594,4.60116,2.65743,4.5,2.5
0.595,4.62539,2.69743,4.5,2.5
0.596,4.64888,2.73743,4.5,2.5
0.597,4.67164,2.77743,4.5,3
0.598,4.69367,2.81743,4.5,3
0.599,4.71495,2.85743,4.5,3
0.6,4.73549,2.89743,4.5,3
0.601,4.75528,2.93743,5,3
0.602,4.77432,2.97743,5,3
0.603,4.79261,3.01743,5,3
0.604,4.81014,3.05743,5,3
0.605,4.82691,3.09743,5,3
0.606,4.84292,3.13743,5,3
0.607,4.85816,3.17743,5,3
0.608,4.87263,3.21743,5,3
0.609,4.88634,3.25743,5,3
0.61,4.89928,3.29743,5,3.5
0.611,4.91144,3.33743,5,3.5
0.612,4.92282,3.37743,5,3.5
0.613,4.93343,3.41743,5,3.5
0.614,4.94326,3.45743,5,3.5
0.615,4.95231,3.49743,5,3.5
0.616,4.96057,3.53743,5,3.5
0.617,4.96806,3.57743,5,3.5
0.618,4.97476,3.61743,5,3.5
0.619,4.98067,3.65743,5,3.5
0.62,4.98579,3.69743,5,3.5
0.621,4.99013,3.73743,5,3.5
0.622,4.99368,3.77743,5,4
0.623,4.99645,3.81743,5,4
0.624,4.99842,3.85743,5,4
0.625,4.99961,3.89743,5,4
0.626,5,3.93743,5,4
0.627,4.99961,3.97743,5,4
0.628,4.99842,4.01743,5,4
0.629,4.99645,4.05743,5,4
0.63,4.99368,4.09743,5,4
0.631,4.99013,4.13743,5,4
0.632,4.98579,4.17743,5,4
0.633,4.98067,4.21743,5,4
0.634,4.97476,4.25743,5,4
0.635,4.96806,4.29743,5,4.5
0.636,4.96057,4.33743,5,4.5
0.637,4.95231,4.37743,5,4.5
0.638,4.94326,4.41743,5,4.5
0.639,4.93343,4.45743,5,4.5
0.64,4.92282,4.49743,5,4.5
0.641,4.91144,4.53743,5,4.5
0.642,4.89928,4.57743,5,4.5
0.643,4.88634,4.61743,5,4.5
0.644,4.87263,4.65743,5,4.5
0.645,4.85816,4.69743,5,4.5
0.646,4.84292,4.73743,5,4.5
0.647,4.82691,4.77743,5,5
0.648,4.81014,4.81014,5,5
0.649,4.79261,4.79261,5,5
0.65,4.77432,4.77432,5,5
0.651,4.75528,4.75528,5,5
0.652,4.73549,4.73549,4.5,4.5
0.653,4.71495,4.71495,4.5,4.5
0.654,4.69367,4.69367,4.5,4.5
0.655,4.67164,4.67164,4.5,4.5
0.656,4.64888,4.64888,4.5,4.5
0.657,4.62539,4.62539,4.5,4.5
0.658,4.60116,4.60116,4.5,4.5
0.659,4.57621,4.57621,4.5,4.5
